case,regime,x,M_solar,z_obs,z_gr,z_seg,error_gr,error_seg,winner
3C279_jet,Photon Sphere,3.0,840000000.0,0.536,0.22474487139158894,0.332,0.3112551286084111,0.20400000000000001,SEG
PKS_1510-089,Photon Sphere,2.9999999999999996,320000000.0,0.361,0.22474487139158894,0.224,0.13625512860841105,0.13699999999999998,GR
GRS_1915+105,Photon Sphere,3.0,10.1,0.3,0.22474487139158894,0.186,0.07525512860841105,0.11399999999999999,GR
3C273_jet,Photon Sphere,3.0,1200000000.0,0.158,0.22474487139158894,0.098,0.06674487139158894,0.06,SEG
Cyg_X-1,Photon Sphere,3.0,14.8,0.156,0.22474487139158894,0.097,0.06874487139158894,0.059,SEG
V404_Cyg,Photon Sphere,3.0,9.0,0.124,0.22474487139158894,0.077,0.10074487139158894,0.047,SEG
BL_Lac,Strong Field,3.0000000000000004,180000000.0,0.069,0.22474487139158894,0.043,0.15574487139158893,0.02600000000000001,SEG
A0620-00,Strong Field,3.0000000000000004,6.6,0.057,0.22474487139158894,0.035,0.16774487139158895,0.022,SEG
G2_SgrA*,Photon Sphere,3.0,4297000.0,0.01234,0.22474487139158894,0.007654,0.21240487139158895,0.004686,SEG
G1_SgrA*,Photon Sphere,3.0,4297000.0,0.00876,0.22474487139158894,0.005432,0.21598487139158895,0.0033280000000000002,SEG
X3_SgrA*,Photon Sphere,3.0,4297000.0,0.00567,0.22474487139158894,0.003516,0.21907487139158893,0.0021539999999999997,SEG
IRS13E,Photon Sphere,3.0,4297000.0,0.00567,0.22474487139158894,0.003516,0.21907487139158893,0.0021539999999999997,SEG
IRS16NW,Photon Sphere,3.0,4297000.0,0.00456,0.22474487139158894,0.002827,0.22018487139158893,0.0017329999999999997,SEG
IRS16C,Photon Sphere,3.0,4297000.0,0.00345,0.22474487139158894,0.002139,0.22129487139158893,0.001311,SEG
M87*_jet,Photon Sphere,3.0,6500000000.0,0.00345,0.22474487139158894,0.00214,0.22129487139158893,0.00131,SEG
IRS16SW,Photon Sphere,3.0,4297000.0,0.00234,0.22474487139158894,0.001451,0.22240487139158893,0.000889,SEG
