ID,Name,Mass_kg,Radius_m,Velocity_m/s,Type,Mass_Msun,Schwarzschild_radius_m,R/r_s
1,Planet_1,3.186570e+26,6.433729e+07,1.458465e+04,planet,1.602097e-04,4.732796e-01,1.359393e+08
2,Planet_2,1.577460e+27,5.721832e+07,3.384428e+04,planet,7.930922e-04,2.342895e+00,2.442206e+07
3,Planet_3,3.733245e+26,8.739949e+06,4.441689e+04,planet,1.876946e-04,5.544735e-01,1.576261e+07
4,Planet_4,7.368884e+26,4.530741e+07,3.327709e+03,planet,3.704819e-04,1.094450e+00,4.139741e+07
5,Planet_5,1.049593e+26,4.440490e+07,2.222664e+04,planet,5.276990e-05,1.558890e-01,2.848495e+08
6,Planet_6,6.001679e+26,4.907892e+07,1.383896e+03,planet,3.017436e-04,8.913887e-01,5.505894e+07
7,Planet_7,1.029821e+27,2.768382e+07,2.578803e+04,planet,5.177582e-04,1.529523e+00,1.809964e+07
8,Planet_8,2.347710e+26,6.306362e+07,3.231718e+04,planet,1.180347e-04,3.486893e-01,1.808590e+08
9,Planet_9,3.209769e+26,4.568044e+07,3.222116e+04,planet,1.613760e-04,4.767252e-01,9.582133e+07
10,Planet_10,6.338482e+26,6.032357e+07,3.276434e+04,planet,3.186768e-04,9.414117e-01,6.407778e+07
11,Planet_11,1.363863e+27,1.225986e+07,4.601744e+03,planet,6.857026e-04,2.025652e+00,6.052301e+06
12,Planet_12,1.785556e+27,6.120788e+07,1.184454e+03,planet,8.977152e-04,2.651964e+00,2.308021e+07
13,Planet_13,4.184110e+26,2.169838e+07,2.063527e+04,planet,2.103625e-04,6.214374e-01,3.491643e+07
14,Planet_14,5.805234e+25,3.947618e+07,4.631465e+04,planet,2.918669e-05,8.622119e-02,4.578478e+08
15,Planet_15,2.395951e+26,2.373928e+07,1.269600e+04,planet,1.204601e-04,3.558544e-01,6.671067e+07
16,Planet_16,1.000915e+27,6.069984e+07,4.775240e+04,planet,5.032251e-04,1.486591e+00,4.083157e+07
17,Planet_17,8.022255e+26,9.548667e+06,3.768394e+04,planet,4.033311e-04,1.191491e+00,8.014048e+06
18,Planet_18,2.565610e+25,3.774910e+07,3.860587e+04,planet,1.289900e-05,3.810527e-02,9.906531e+08
19,Planet_19,6.762971e+26,5.674727e+07,2.139938e+04,planet,3.400186e-04,1.004458e+00,5.649541e+07
20,Planet_20,5.651455e+25,1.399304e+07,4.062158e+03,planet,2.841355e-05,8.393722e-02,1.667084e+08
21,Planet_21,9.788375e+26,2.766265e+07,3.429288e+04,planet,4.921254e-04,1.453801e+00,1.902781e+07
22,Planet_22,8.125206e+26,5.103354e+07,4.686882e+04,planet,4.085071e-04,1.206782e+00,4.228896e+07
23,Planet_23,1.295841e+27,5.962976e+07,7.320689e+03,planet,6.515039e-04,1.924625e+00,3.098253e+07
24,Planet_24,1.055561e+27,7.170056e+06,3.715380e+04,planet,5.306994e-04,1.567753e+00,4.573460e+06
25,Planet_25,5.972608e+26,4.161367e+07,1.480922e+04,planet,3.002819e-04,8.870709e-01,4.691132e+07
26,Planet_26,1.789205e+27,5.665448e+07,4.582617e+04,planet,8.995501e-04,2.657385e+00,2.131964e+07
27,Planet_27,6.148165e+26,2.283737e+07,2.698562e+04,planet,3.091083e-04,9.131451e-01,2.500958e+07
28,Planet_28,8.368065e+26,6.503467e+07,1.292234e+04,planet,4.207172e-04,1.242852e+00,5.232697e+07
29,Planet_29,1.753229e+26,6.941706e+07,2.226144e+04,planet,8.814623e-05,2.603951e-01,2.665836e+08
30,Planet_30,5.599745e+25,6.549439e+07,4.746196e+04,planet,2.815357e-05,8.316920e-02,7.874837e+08
31,Planet_31,1.401568e+26,4.421513e+07,3.420082e+04,planet,7.046595e-05,2.081653e-01,2.124039e+08
32,Planet_32,1.070945e+27,3.133649e+07,1.907978e+04,planet,5.384338e-04,1.590602e+00,1.970103e+07
33,Planet_33,5.568358e+26,2.617145e+07,3.118245e+04,planet,2.799577e-04,8.270303e-01,3.164510e+07
34,Planet_34,9.606730e+26,3.502940e+07,4.368312e+03,planet,4.829930e-04,1.426822e+00,2.455064e+07
35,Planet_35,1.599042e+26,1.782176e+07,3.994522e+04,planet,8.039429e-05,2.374949e-01,7.504059e+07
36,Planet_36,1.773434e+27,3.270607e+07,6.850987e+03,planet,8.916211e-04,2.633962e+00,1.241706e+07
37,Planet_37,1.840219e+27,3.266403e+07,3.640235e+04,planet,9.251983e-04,2.733153e+00,1.195104e+07
38,Planet_38,1.058310e+26,5.680750e+07,1.696230e+04,planet,5.320816e-05,1.571836e-01,3.614085e+08
39,Planet_39,1.622700e+27,5.136049e+07,1.304410e+04,planet,8.158369e-04,2.410085e+00,2.131065e+07
40,Planet_40,1.717197e+27,1.265777e+07,1.544079e+04,planet,8.633467e-04,2.550435e+00,4.962983e+06
41,Planet_41,4.891548e+26,9.967040e+06,3.367665e+04,planet,2.459300e-04,7.265084e-01,1.371910e+07
42,Planet_42,1.246499e+27,3.637427e+07,3.536702e+04,planet,6.266963e-04,1.851340e+00,1.964754e+07
43,Planet_43,1.870297e+27,6.452549e+07,4.539240e+04,planet,9.403203e-04,2.777825e+00,2.322878e+07
44,Planet_44,3.617291e+26,6.324351e+07,1.323842e+04,planet,1.818648e-04,5.372517e-01,1.177167e+08
45,Planet_45,7.262202e+26,6.275453e+07,4.981765e+04,planet,3.651183e-04,1.078606e+00,5.818117e+07
46,Planet_46,1.030228e+27,4.321214e+07,4.709085e+04,planet,5.179626e-04,1.530127e+00,2.824088e+07
47,Planet_47,1.482587e+26,2.811263e+07,4.332911e+04,planet,7.453932e-05,2.201986e-01,1.276694e+08
48,Planet_48,1.446991e+26,5.149319e+07,4.719022e+04,planet,7.274966e-05,2.149117e-01,2.396016e+08
49,Planet_49,1.263309e+27,5.058721e+07,4.363815e+04,planet,6.351476e-04,1.876306e+00,2.696106e+07
