source,frequency_Hz,flux_density_Jy,flux_error_Jy,M_solar,r_emit_m,instrument,observation_date
M87,1400000000.0,226.0,22.6,6500000000.0,12000000000000.0,2002AJ....124..675C,unknown
M87,1400000000.0,215.0,21.5,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,1400000000.0,22.4,2.2399999999999998,6500000000.0,12000000000000.0,1992ApJS...79..331W,unknown
M87,1400000000.0,210.0,21.0,6500000000.0,12000000000000.0,2011ApJ...731L..41B,unknown
M87,1400000000.0,220.0,22.0,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,1400000000.0,147.0,14.700000000000001,6500000000.0,12000000000000.0,2014MNRAS.440..696A,unknown
M87,1400000000.0,138.0,13.8,6500000000.0,12000000000000.0,2004ApJ...607..800B,unknown
M87,1400000000.0,148.0,14.8,6500000000.0,12000000000000.0,2014MNRAS.440..696A,unknown
M87,1400000000.0,210.0,21.0,6500000000.0,12000000000000.0,1964AJ.....69..277H,unknown
M87,1400000000.0,220.0,22.0,6500000000.0,12000000000000.0,1980MNRAS.190..903L,unknown
M87,1400000000.0,214.0,21.400000000000002,6500000000.0,12000000000000.0,1969ApJ...157....1K,unknown
M87,1410000000.0,220.0,22.0,6500000000.0,12000000000000.0,1990PKS90.C...0000W,unknown
M87,1470000000.0,1.38,0.13799999999999998,6500000000.0,12000000000000.0,2010MNRAS.404..180D,unknown
M87,2380000000.0,134.0,13.4,6500000000.0,12000000000000.0,1978ApJS...36...53D,unknown
M87,2650000000.0,127.0,12.700000000000001,6500000000.0,12000000000000.0,1975AuJPA..38....1W,unknown
M87,2700000000.0,120.0,12.0,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,2700000000.0,121.0,12.100000000000001,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,2700000000.0,120.0,12.0,6500000000.0,12000000000000.0,1980MNRAS.190..903L,unknown
M87,2700000000.0,118.0,11.8,6500000000.0,12000000000000.0,1969ApJ...157....1K,unknown
M87,2700000000.0,120.0,12.0,6500000000.0,12000000000000.0,1990PKS90.C...0000W,unknown
M87,4780000000.0,5.0,0.5,6500000000.0,12000000000000.0,1986ApJS...61....1B,unknown
M87,4850000000.0,59.7,5.970000000000001,6500000000.0,12000000000000.0,1991ApJS...75....1B,unknown
M87,4850000000.0,61.2,6.120000000000001,6500000000.0,12000000000000.0,1991ApJS...75.1011G,unknown
M87,4890000000.0,2.99,0.29900000000000004,6500000000.0,12000000000000.0,1997A&AS..122..235L,unknown
M87,5000000000.0,72.1,7.21,6500000000.0,12000000000000.0,1969ApJ...157....1K,unknown
M87,5000000000.0,71.6,7.16,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,5000000000.0,76.4,7.640000000000001,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,5000000000.0,67.6,6.76,6500000000.0,12000000000000.0,1990PKS90.C...0000W,unknown
M87,5000000000.0,2.88,0.288,6500000000.0,12000000000000.0,2001ApJ...559L..87N,unknown
M87,5000000000.0,3.1,0.31000000000000005,6500000000.0,12000000000000.0,2001ApJ...559L..87N,unknown
M87,5000000000.0,71.6,7.16,6500000000.0,12000000000000.0,1980MNRAS.190..903L,unknown
M87,5010000000.0,69.6,6.96,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,5010000000.0,81.7,8.17,6500000000.0,12000000000000.0,1981A&AS...45..367K,unknown
M87,8000000000.0,49.0,4.9,6500000000.0,12000000000000.0,1971AJ.....76....1S,unknown
M87,8110000000.0,2.18,0.21800000000000003,6500000000.0,12000000000000.0,2004ApJ...612..749Z,unknown
M87,8400000000.0,2.64,0.264,6500000000.0,12000000000000.0,2001ApJ...559L..87N,unknown
M87,8400000000.0,2.54,0.254,6500000000.0,12000000000000.0,2001ApJ...559L..87N,unknown
M87,8400000000.0,2.57,0.257,6500000000.0,12000000000000.0,2001ApJ...559L..87N,unknown
M87,8400000000.0,2.73,0.273,6500000000.0,12000000000000.0,2009AJ....138.1990C,unknown
