abmaglim,access_estsize,access_format,access_url,bib_reference,calib_level,dataproduct_subtype,dataproduct_type,dp_id,em_max,em_min,em_res_power,em_xel,facility_name,filter,gal_lat,gal_lon,instrument_name,is_solar,last_mod_date,multi_ob,n_obs,o_calib_status,o_ucd,obs_collection,obs_creator_did,obs_creator_name,obs_id,obs_publisher_did,obs_release_date,obs_title,obstech,p3orig,pol_states,pol_xel,preview_html,proposal_id,publication_date,release_description,s_dec,s_fov,s_pixel_scale,s_ra,s_region,s_resolution,s_xel1,s_xel2,snr,strehl,t_exptime,t_max,t_min,t_resolution,t_xel,target_name
,1359,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-12T10:48:23.136," ",2,,spectrum,ADP.2017-08-12T10:48:23.136,2.47896E-6,9.9402E-7,8031.0,24750,ESO-VLT-U2,,-0.034474,313.450301,XSHOOTER,0,2020-10-13T13:59:50.407Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2016-05-12T07:50:31.150_S0.6x11_NIR_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-12T10:48:23.136,2016-05-12T07:52:54.210Z,Hip070052_200193515_2016-05-12T07:50:31.150_S0.6x11_NIR_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-12T10:48:23.136,60.A-9022(C),2017-08-12T10:51:18Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-61.08131,1.6666E-4,,215.038759,POSITION J2000 215.038759 -61.08131,,,,507.1,,180.0,57520.32944468,57520.32674942,232.870464,,Hip070052
,731,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-12T10:48:23.186," ",2,,spectrum,ADP.2017-08-12T10:48:23.186,5.5598E-7,2.9892000000000003E-7,9861.0,12854,ESO-VLT-U2,,-0.034473,313.4503,XSHOOTER,0,2020-10-13T13:59:50.407Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2016-05-12T07:58:46.987_S0.5x11_1x1_UVB_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-12T10:48:23.186,2016-05-12T08:01:20.310Z,Hip070052_200193515_2016-05-12T07:58:46.987_S0.5x11_1x1_UVB_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-12T10:48:23.186,60.A-9022(C),2017-08-12T10:51:18Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-61.08131,1.3888E-4,,215.038759,POSITION J2000 215.038759 -61.08131,,,,508.7,,220.0,57520.33553599,57520.33248828,263.322144,,Hip070052
,1330,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-12T10:48:23.195," ",2,,spectrum,ADP.2017-08-12T10:48:23.195,1.02E-6,5.336599999999999E-7,11333.0,24318,ESO-VLT-U2,,-0.034474,313.450301,XSHOOTER,0,2020-10-13T13:59:50.407Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2016-05-12T07:58:52.209_S0.7x11_1x1_VIS_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-12T10:48:23.195,2016-05-12T08:01:25.550Z,Hip070052_200193515_2016-05-12T07:58:52.209_S0.7x11_1x1_VIS_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-12T10:48:23.195,60.A-9022(C),2017-08-12T10:51:18Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-61.08131,1.9416E-4,,215.038759,POSITION J2000 215.038759 -61.08131,,,,541.4,,190.0,57520.33542303,57520.3325487,248.342112,,Hip070052
,731,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-12T10:48:23.209," ",2,,spectrum,ADP.2017-08-12T10:48:23.209,5.5598E-7,2.9892000000000003E-7,9861.0,12854,ESO-VLT-U2,,-0.034473,313.4503,XSHOOTER,0,2020-10-13T13:59:50.407Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2016-05-12T07:50:22.957_S0.5x11_1x1_UVB_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-12T10:48:23.209,2016-05-12T07:52:46.167Z,Hip070052_200193515_2016-05-12T07:50:22.957_S0.5x11_1x1_UVB_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-12T10:48:23.209,60.A-9022(C),2017-08-12T10:51:18Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-61.08131,1.3888E-4,,215.038759,POSITION J2000 215.038759 -61.08131,,,,520.2,,180.0,57520.3293538,57520.3266546,233.21088,,Hip070052
,1330,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-12T10:48:23.229," ",2,,spectrum,ADP.2017-08-12T10:48:23.229,1.02E-6,5.336599999999999E-7,11333.0,24318,ESO-VLT-U2,,-0.034474,313.450301,XSHOOTER,0,2020-10-13T13:59:50.407Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2016-05-12T07:50:28.128_S0.7x11_1x1_VIS_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-12T10:48:23.229,2016-05-12T07:52:51.340Z,Hip070052_200193515_2016-05-12T07:50:28.128_S0.7x11_1x1_VIS_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-12T10:48:23.229,60.A-9022(C),2017-08-12T10:51:18Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-61.08131,1.9416E-4,,215.038759,POSITION J2000 215.038759 -61.08131,,,,593.1,,190.0,57520.32947152,57520.32671444,238.211712,,Hip070052
,1350,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-05-15T15:38:26.677," ",2,,spectrum,ADP.2014-05-15T15:38:26.677,2.47896E-6,9.9402E-7,11424.0,24750,ESO-VLT-U2,,-7.229724,359.672052,XSHOOTER,0,2020-10-13T14:00:10.857Z,S,12,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200202158_2010-05-04T06:56:41.552_S0.4x11_NIR_NOD.fits,"GUENTHER, HANS MORITZ",200202158,ivo://eso.org/ID?ADP.2014-05-15T15:38:26.677,2011-05-04T07:19:51.690Z,V4046-Sgr_200202158_2010-05-04T06:56:41.552_S0.4x11_NIR_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2014-05-15T15:38:26.677,085.C-0764(A),2014-05-15T00:00:00Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-32.79313,0.00305555,,273.542988,POSITION J2000 273.542988 -32.79313,,,,828.2,,1200.0,55320.30661676,55320.28936982,1490.135616,,V4046-Sgr
,731,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-11T17:44:43.502," ",2,,spectrum,ADP.2017-08-11T17:44:43.502,5.5598E-7,2.9892000000000003E-7,5453.0,12854,ESO-VLT-U3,,-7.646554,359.552992,XSHOOTER,0,2020-10-13T14:00:03.163Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2014-06-11T06:27:35.758_S1.0x11_2x2_UVB_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-11T17:44:43.502,2014-06-11T06:28:29.633Z,Hip089486_200193515_2014-06-11T06:27:35.758_S1.0x11_2x2_UVB_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-11T17:44:43.502,60.A-9022(C),2017-08-11T17:51:44Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-33.09089,2.7777E-4,,273.917957,POSITION J2000 273.917957 -33.09089,,,,615.3,,12.0,56819.26985685,56819.26916386,59.874336,,Hip089486
,731,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-11T17:44:43.569," ",2,,spectrum,ADP.2017-08-11T17:44:43.569,5.5598E-7,2.9892000000000003E-7,5453.0,12854,ESO-VLT-U3,,-7.646554,359.552992,XSHOOTER,0,2020-10-13T14:00:03.163Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2014-06-11T06:25:30.538_S1.0x11_2x2_UVB_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-11T17:44:43.569,2014-06-11T06:26:23.863Z,Hip089486_200193515_2014-06-11T06:25:30.538_S1.0x11_2x2_UVB_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-11T17:44:43.569,60.A-9022(C),2017-08-11T17:51:44Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-33.09089,2.7777E-4,,273.917957,POSITION J2000 273.917957 -33.09089,,,,762.1,,20.0,56819.26844748,56819.26771456,63.324288,,Hip089486
,1330,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-11T17:44:43.581," ",2,,spectrum,ADP.2017-08-11T17:44:43.581,1.02E-6,5.336599999999999E-7,8935.0,24318,ESO-VLT-U3,,-7.646554,359.552992,XSHOOTER,0,2020-10-13T14:00:03.163Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2014-06-11T06:25:35.688_S0.9x11_2x2_VIS_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-11T17:44:43.581,2014-06-11T06:26:29.413Z,Hip089486_200193515_2014-06-11T06:25:35.688_S0.9x11_2x2_VIS_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-11T17:44:43.581,60.A-9022(C),2017-08-11T17:51:44Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-33.09089,2.5E-4,,273.917957,POSITION J2000 273.917957 -33.09089,,,,578.2,,20.0,56819.26851172,56819.26777417,63.72432,,Hip089486
,1330,application/x-votable+xml;content=datalink,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-08-11T17:44:43.624," ",2,,spectrum,ADP.2017-08-11T17:44:43.624,1.02E-6,5.336599999999999E-7,8935.0,24318,ESO-VLT-U3,,-7.646554,359.552992,XSHOOTER,0,2020-10-13T14:00:03.163Z,S,2,absolute,,XSHOOTER,ivo://eso.org/origfile?XS_SFLX_200193515_2014-06-11T06:27:40.918_S0.9x11_2x2_VIS_NOD.fits,"UVES TEAM, UVES TEAM",200193515,ivo://eso.org/ID?ADP.2017-08-11T17:44:43.624,2014-06-11T06:28:34.793Z,Hip089486_200193515_2014-06-11T06:27:40.918_S0.9x11_2x2_VIS_NOD,"ECHELLE,SLIT,NODDING",IDP,,,https://archive.eso.org/dataset/ADP.2017-08-11T17:44:43.624,60.A-9022(C),2017-08-11T17:51:44Z,http://www.eso.org/rm/api/v1/public/releaseDescriptions/70,-33.09089,2.5E-4,,273.917957,POSITION J2000 273.917957 -33.09089,,,,581.8,,20.0,56819.26996287,56819.26922359,63.873792,,Hip089486
