name,type,mass_msun,radius_rsun,source,mass_kg,radius_m,schwarzschild_radius_m,R_over_rs
Sun,star,1.0,1.0,Published,1.989e+30,696000000.0,2954.126555055405,235602.63483259824
Sirius A,star,2.063,1.711,Published,4.103307e+30,1190856000.0,6094.363083079301,195402.86388685193
Proxima Centauri,star,0.122,0.154,Published,2.4265799999999998e+29,107184000.0,360.40343971675935,297400.04724770604
Betelgeuse,red_giant,16.5,764.0,Published,3.28185e+31,531744000000.0,48743.08815841418,10909115.94012758
Sirius B,white_dwarf,1.018,0.0084,Published,2.024802e+30,5846400.0,3007.3008330464027,1944.0688925283152
40 Eridani B,white_dwarf,0.573,0.014,Published,1.1396969999999999e+30,9744000.0,1692.714516046747,5756.434358911651
PSR J0348+0432,neutron_star,2.01,1.4e-05,Published,3.997889999999999e+30,9744.0,5937.794375661363,1.6410133769434705
PSR J0740+6620,neutron_star,2.08,1.5e-05,Published,4.13712e+30,10440.0,6144.583234515242,1.6990574627350836
Cygnus X-1,stellar_bh,21.2,6.2e-05,Published,4.21668e+31,43152.0,62627.48296717459,0.6890265735670326
GRO J1655-40,stellar_bh,6.3,1.9e-05,Published,1.2530699999999999e+31,13224.0,18610.997296849047,0.710547628860217
Sgr A*,smbh,4297000.0,0.127,Published,8.546733e+36,88392000.0,12693881807.073074,0.006963354578482657
M87*,smbh,6500000000.0,192.0,Published,1.29285e+40,133632000000.0,19201822607860.133,0.0069593393673629015
M31 BH,smbh,140000000.0,4.1,Published,2.7845999999999997e+38,2853599999.9999995,413577717707.75665,0.006899791448668948
