objid,ra,dec,u,g,r,i,z,run,camcol,field
1237676302411825797,75.0128086004395,-4.75201437217774,21.89837,20.63953,20.45659,20.16557,19.98665,7178,1,45
1237676302414185026,79.7566867534924,-2.2167470971084,22.9516,23.68384,21.52872,21.31215,20.59172,7178,1,81
1237676302422705529,96.9006873646995,7.11334927998045,23.90086,22.61617,20.66694,19.70221,19.13902,7178,1,211
1237676302412743368,76.8909216251489,-3.72465409988527,22.19692,22.07428,20.5409,19.82063,19.45241,7178,1,59
1237676302413071325,77.6240121181294,-3.32957783431754,22.63916,21.11882,20.76148,20.57117,20.35108,7178,1,64
1237676302410514451,72.371749551148,-6.19092858276429,20.58622,19.48169,18.88642,18.55938,18.3335,7178,1,25
1237676302421983385,95.4827426052283,6.2031695528007,23.76192,20.06726,18.86124,18.03782,17.47737,7178,1,200
1237676302422049684,95.6618522355768,6.36054852641152,20.75209,20.03489,18.90306,18.69451,18.58987,7178,1,201
1237676302421984552,95.4881474382294,6.41187502631655,23.84775,23.75524,22.56673,21.56268,20.81513,7178,1,200
1237676302409597090,70.5206062045296,-7.19748014645416,23.61212,21.97732,21.09892,20.82854,20.50015,7178,1,11
1237676302412219039,75.7842116179853,-4.32311686612616,21.978,20.95234,19.6526,19.09912,18.65419,7178,1,51
1237676302413333216,78.0534147614009,-3.16502486566433,23.72914,22.29744,21.4161,21.08818,20.86235,7178,1,68
1237676302409859331,71.0928334742714,-6.96743084653644,22.47153,20.86409,19.39145,18.47459,17.82609,7178,1,15
1237676302410449607,72.3068030741266,-6.16335106225781,23.77748,21.55591,20.50764,19.97781,19.80519,7178,1,24
1237676302423100207,97.7992757197079,7.52642823811566,21.81024,20.96844,19.84816,19.44625,18.92389,7178,1,217
1237676302410056149,71.5473416291716,-6.64567625177976,21.51062,20.36456,19.74982,19.40316,19.22644,7178,1,18
1237676302414644005,80.682740747927,-1.6732669168736,22.29242,21.91686,20.79435,20.2826,20.02258,7178,1,88
1237676302419495031,90.4512291361584,3.7045804766321,22.82856,22.80584,20.20141,19.67537,18.86239,7178,1,162
1237676302421461582,94.4527337506482,5.72331504285776,23.76101,21.94584,20.82763,20.41352,20.06813,7178,1,192
1237676302423428413,98.5000163846374,7.79899188879917,23.61369,22.24961,21.09025,20.21159,19.5583,7178,1,222
1237676302412809282,77.1192255057307,-3.74170729159803,23.2613,22.83884,21.14781,20.64409,20.06353,7178,1,60
1237676302409990589,71.3772381546919,-6.71145441816774,22.75908,22.17899,21.35036,21.00623,20.9456,7178,1,17
1237676302412088142,75.6835633170091,-4.55075521065173,22.93876,22.39032,21.40245,20.80964,19.85512,7178,1,49
1237676302412153661,75.7515099391511,-4.41654155492176,21.80013,21.20781,19.6754,19.0816,18.55894,7178,1,50
1237676302413464612,78.3904745938268,-3.02796365501058,22.64216,22.74141,21.56868,21.1381,20.7754,7178,1,70
1237676302414906319,81.2241665734297,-1.39170783923553,23.09025,22.6031,21.71863,21.1433,20.7478,7178,1,92
1237676302413922424,79.2726854921944,-2.40442945252751,16.50429,15.23925,16.01013,15.20384,14.02484,7178,1,77
1237676302418183290,87.8291694612715,2.13608360770451,23.09037,21.99571,20.57563,20.72416,19.36538,7178,1,142
1237676302410449936,72.3064823957509,-6.38639011330879,23.13691,22.47207,21.72608,20.91698,20.81974,7178,1,24
1237676302411105077,73.570587750321,-5.51399975379063,22.7144,23.28658,23.60714,21.81744,21.3897,7178,1,34
1237676302411170633,73.7756546612696,-5.57789239871547,23.65394,23.03977,22.02349,21.41646,21.45537,7178,1,35
1237676302411236149,73.8173309520269,-5.36262655580563,22.93872,22.87479,21.72007,21.75262,20.8489,7178,1,36
1237676302411498547,74.4164816842918,-5.0868807846292,23.55903,23.17681,22.53843,21.45954,22.08104,7178,1,40
1237676302412546776,76.5129087769518,-4.02924997117333,22.87733,22.63552,21.78699,21.58239,21.29304,7178,1,56
1237676302412940357,77.4252675002169,-3.59994475127544,23.14403,23.40392,22.3234,22.58038,22.2966,7178,1,62
1237676302413071720,77.6276527080294,-3.48489754864261,23.10271,23.41218,22.41064,21.40578,22.96875,7178,1,64
1237676302413202675,77.8396750054678,-3.38267842994835,22.57166,23.42785,21.73025,20.54502,19.97736,7178,1,66
1237676302413530236,78.4665299447887,-2.93732844823632,22.73901,22.91505,21.9052,21.85802,21.70887,7178,1,71
1237676302413727075,78.9609356481365,-2.68645563261542,23.80919,23.16506,21.82473,21.18025,20.90758,7178,1,74
1237676302421069255,93.6688169010344,5.3612345661206,23.13277,23.04707,22.07484,21.795,21.74635,7178,1,186
1237676302409859723,71.0920100373821,-6.88793932390362,22.42966,22.59947,21.32372,20.80183,20.42676,7178,1,15
1237676302410122084,71.6790544320507,-6.59247716822914,23.03915,22.82863,21.6591,21.10166,21.13697,7178,1,19
1237676302409729012,70.848679742534,-7.03383539901202,22.67835,22.88919,21.15377,21.79858,21.32728,7178,1,13
1237676302413530613,78.5438542073843,-2.97829920543313,23.71162,22.66696,22.11275,21.76129,20.83511,7178,1,71
1237676302414644642,80.7722344839439,-1.59803522972114,22.78633,23.28834,22.82109,21.02912,20.86775,7178,1,88
1237676302414775742,80.9346709063529,-1.47735167047003,22.72661,23.2932,22.09429,21.7789,22.44469,7178,1,90
1237676302419953868,91.3902031640661,4.06612748078981,22.95185,22.76487,21.51456,21.04623,20.21095,7178,1,169
1237676302413792661,78.946430739213,-2.62127555401333,23.13938,22.57417,21.24557,22.1384,21.80977,7178,1,75
1237676302418970858,89.3134939559974,3.09493814267508,23.99995,21.57159,20.12213,19.8203,20.17779,7178,1,154
1237676302419036496,89.5026725565656,3.09923261637828,22.72582,23.25733,21.76735,21.46969,20.51061,7178,1,155
1237676302409794537,70.9823019652658,-6.88770930986461,17.56581,18.04885,17.66778,17.61805,17.0351,7178,1,14
1237676302410580825,72.6098781065248,-6.09182167995246,21.6672,22.1547,21.2042,20.96821,21.34683,7178,1,26
1237676302410908550,73.231726935995,-5.77582874207492,20.1963,22.03796,18.61766,20.16084,17.26528,7178,1,31
1237676302412743666,76.9071954055645,-3.67979567672813,21.19697,22.25275,20.9646,20.9358,20.69714,7178,1,59
1237676302413726885,78.8628464795431,-2.71893073115397,21.20055,20.6114,20.19512,20.05609,19.0232,7178,1,74
