alpha,eta,omega,m,epsilon,q,sigma0,R,Kappa,phi,r0,K,lambda_A,Omega0,segment_mode,Xi,logG,lhs,stable_direct,stable_criterion,near_boundary,criterion_margin,integral_gamma,damping_sum,log_mirror
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.1,uniform,10.98167071350908,7.199260662709792,0.0,False,False,False,-10.98167071350908,7.1993706677601255,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.1,uniform,10.98167071350908,0.3125792663753276,2.5600000000000005,False,False,False,-8.42167071350908,7.1993706677601255,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.311111111111,uniform,59.36516837208969,47.59767043626968,0.0,False,False,False,-59.36516837208969,47.59778044132001,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.311111111111,uniform,59.36516837208969,40.710989039935214,2.5600000000000005,False,False,False,-56.80516837208969,47.59778044132001,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.311111111111,uniform,59.36516837206421,47.597670436248414,0.0,False,False,False,-59.36516837206421,47.597780441298745,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.311111111111,uniform,59.36516837206421,40.71098903991395,2.5600000000000005,False,False,False,-56.80516837206421,47.597780441298745,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.522222222222,uniform,107.74866603064484,87.99608020980831,0.0,False,False,False,-107.74866603064484,87.99619021485864,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.522222222222,uniform,107.74866603064484,81.10939881347385,2.5600000000000005,False,False,False,-105.18866603064484,87.99619021485864,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.522222222222,uniform,107.74866603061936,87.99608020978704,0.0,False,False,False,-107.74866603061936,87.99619021483737,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.522222222222,uniform,107.74866603061936,81.10939881345257,2.5600000000000005,False,False,False,-105.18866603061936,87.99619021483737,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.733333333333,uniform,156.13216368919996,128.39448998334692,0.0,False,False,False,-156.13216368919996,128.39459998839726,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.733333333333,uniform,156.13216368919996,121.50780858701246,2.5600000000000005,False,False,False,-153.57216368919995,128.39459998839726,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.733333333333,uniform,156.1321636891745,128.39448998332566,0.0,False,False,False,-156.1321636891745,128.394599988376,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.733333333333,uniform,156.1321636891745,121.5078085869912,2.5600000000000005,False,False,False,-153.5721636891745,128.394599988376,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.944444444444,uniform,204.5156613477551,168.79289975688553,0.0,False,False,False,-204.5156613477551,168.79300976193588,0.0,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.8,0.944444444444,uniform,204.5156613477551,161.90621836055107,2.5600000000000005,False,False,False,-201.9556613477551,168.79300976193588,6.886681396334464,-0.00011000505033366343
2.5,0.0,0.25,4,0.2,3.0,0.4,0.9999,1e-05,1.618034,1.0,8,0.0,0.944444444444,uniform,204.51566134772963,168.79289975686427,0.0,False,False,False,-204.51566134772963,168.79300976191462,0.0,-0.00011000505033366343
