case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,n_round,R,n_star,residual,abs_residual
S1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2001.8,0.0,0.000234123456789,456805024067434.56,456698100329476.5,656.281,656.4346507763449,740406.6377690635,2411559.5955599174,0.0001456,1.0000000028,S1 orbital parameters from GRAVITY collaboration,38071497974.22413,0,1.0002341234567889,0.0004864719484820126,0.0004864719484820126,0.0004864719484820126
S8_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2020.12,0.0,0.0001987654321098,456805024067434.56,456714245063163.9,656.281,656.4114459765505,576544.0149960216,1650244.425212328,0.0001234,1.0000000028,S8 orbital parameters from VLT observations,38071497974.22413,0,1.0001987654321098,0.0004130108000856333,0.0004130108000856333,0.0004130108000856333
S12_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2002.33,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,687429.5250689999,1279252.2799805307,0.0002145,1.0000000028,S12 orbital parameters from Keck observations,38071497974.22413,0,1.0003456789012346,0.0007182266728497088,0.0007182266728497088,0.0007182266728497088
S13_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2004.86,0.0,9.87654321098e-05,456805024067434.56,456759911977357.7,656.281,656.3458178765504,707395.8607588904,807835.9621717719,6.13e-05,1.0000000028,S13 orbital parameters from combined data,38071497974.22413,0,1.0000987654321098,0.0002052330179405747,0.0002052330179405747,0.0002052330179405747
S14_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2016.05,0.0,0.0004567890123456,456805024067434.56,456596455823338.5,656.281,656.5807819498111,1317846.1828622392,1547495.8821069591,0.0002834,1.0000000028,S14 highly eccentric orbit,38071497974.22413,0,1.0004567890123457,0.0009490305354569527,0.0009490305354569527,0.0009490305354569527
S17_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.67,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,644386.2147067375,1114238.1961445846,3.52e-05,1.0000000028,S17 low eccentricity orbit,38071497974.22413,0,1.0000567890123455,0.0001180091530451587,0.0001180091530451587,0.0001180091530451587
S19_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2012.45,0.0,0.0002345678901234,456805024067434.56,456697897405216.5,656.281,656.4349424494981,234686.65017825275,1374091.8763108307,0.0001456,1.0000000028,S19 intermediate orbit,38071497974.22413,0,1.0002345678901232,0.00048739530319731757,0.00048739530319731757,0.00048739530319731757
S21_SgrA*,S-stars,4297000.0,123400000000000.0,0.8765,28.9,2018.91,0.0,0.0003789012345678,456805024067434.56,456632005636755.6,656.281,656.5296656811233,175065.92016082324,1285530.666684324,0.0002349,1.0000000028,S21 shorter period orbit,38071497974.22413,0,1.0003789012345679,0.0007872405662006819,0.0007872405662006819,0.0007872405662006819
S23_SgrA*,S-stars,4297000.0,567800000000000.0,0.3456,134.7,2001.23,0.0,4.56789012345e-05,456805024067434.56,456784158668965.25,656.281,656.3109781949811,272911.5148316311,664112.2751324235,2.83e-05,1.0000000028,S23 long period orbit,38071497974.22413,0,1.0000456789012344,9.49225592690219e-05,9.49225592690219e-05,9.49225592690219e-05
S24_SgrA*,S-stars,4297000.0,345600000000000.0,0.6789,67.3,2009.78,0.0,0.0001234567890123,456805024067434.56,456748635347528.8,656.281,656.3620223449497,623034.139155285,816569.1990415838,7.66e-05,1.0000000028,S24 moderate eccentricity,38071497974.22413,0,1.0001234567890123,0.000256538103224638,0.000256538103224638,0.000256538103224638
S27_SgrA*,S-stars,4297000.0,234500000000000.0,0.789,45.6,2015.34,0.0,0.0002678901234567,456805024067434.56,456682683287028.25,656.281,656.4568111981122,343550.4302124868,1057899.8028433905,0.0001662,1.0000000028,S27 orbital parameters,38071497974.22413,0,1.0002678901234567,0.0005566244081211837,0.0005566244081211837,0.0005566244081211837
S31_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2006.89,0.0,7.89012345678e-05,456805024067434.56,456768984430650.7,656.281,656.3327813811234,183369.8057130129,861945.7560251208,4.89e-05,1.0000000028,S31 medium period orbit,38071497974.22413,0,1.0000789012345679,0.00016395715549888173,0.00016395715549888173,0.00016395715549888173
S33_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2013.67,0.0,0.0003456789012345,456805024067434.56,456647170775189.1,656.281,656.507862494981,256835.6301168606,1608837.3944875486,0.0002144,1.0000000028,S33 high eccentricity,38071497974.22413,0,1.0003456789012346,0.0007182266728497088,0.0007182266728497088,0.0007182266728497088
S35_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2003.45,0.0,3.45678901234e-05,456805024067434.56,456789233827390.06,656.281,656.303686249498,653561.1628391751,910511.2467686718,2.14e-05,1.0000000028,S35 very long period,38071497974.22413,0,1.0000345678901235,7.183383879528196e-05,7.183383879528196e-05,7.183383879528196e-05
S39_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2011.12,0.0,0.0001567890123456,456805024067434.56,456733413286660.1,656.281,656.383897649811,87746.8396518232,840344.5483565853,9.73e-05,1.0000000028,S39 orbital data,38071497974.22413,0,1.0001567890123455,0.0003257956560263434,0.0003257956560263434,0.0003257956560263434
S41_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2017.56,0.0,0.0003012345678901,456805024067434.56,456667460042439.2,656.281,656.4786945234495,1152408.4515295164,1731679.806719088,0.0001869,1.0000000028,S41 close orbit,38071497974.22413,0,1.00030123456789,0.0006258973495297351,0.0006258973495297351,0.0006258973495297351
S43_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2007.23,0.0,9.0123456789e-05,456805024067434.56,456763858929531.6,656.281,656.3401463123449,760463.8442466172,1060594.9519842318,5.59e-05,1.0000000028,S43 medium distance,38071497974.22413,0,1.000090123456789,0.00018727593799888086,0.00018727593799888086,0.00018727593799888086
S45_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2004.78,0.0,6.78901234567e-05,456805024067434.56,456774013623257.8,656.281,656.3255549981124,221558.0585753809,572838.0666259885,4.21e-05,1.0000000028,S45 low eccentricity,38071497974.22413,0,1.0000678901234568,0.00014107678883040263,0.00014107678883040263,0.00014107678883040263
S47_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2014.34,0.0,0.0001890123456789,456805024067434.56,456718698594897.7,656.281,656.4050452112346,643599.0673218633,814184.8445059626,0.0001173,1.0000000028,S47 elliptical orbit,38071497974.22413,0,1.000189012345679,0.0003927469676636578,0.0003927469676636578,0.0003927469676636578
S49_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2008.91,0.0,5.67890123456e-05,456805024067434.56,456779084034392.2,656.281,656.318269549811,343554.4853259151,941971.8517012532,3.52e-05,1.0000000028,S49 nearly circular,38071497974.22413,0,1.0000567890123455,0.0001180091530451587,0.0001180091530451587,0.0001180091530451587
S51_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2016.78,0.0,0.0002789012345678,456805024067434.56,456677656105347.25,656.281,656.4640375811233,321250.78283406654,921054.4981786528,0.0001731,1.0000000028,S51 eccentric orbit,38071497974.22413,0,1.0002789012345679,0.0005795001999670657,0.0005795001999670657,0.0005795001999670657
S53_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2002.56,0.0,4.0123456789e-05,456805024067434.56,456786696206167.5,656.281,656.307332262345,437184.6565690957,639453.393344406,2.49e-05,1.0000000028,S53 distant orbit,38071497974.22413,0,1.000040123456789,8.337835808528372e-05,8.337835808528372e-05,8.337835808528372e-05
PSR_J1745-2900,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2023.5,180.0,0.00234,456805024067434.56,455738595753371.7,656.281,657.81669754,3000000.0,15000000.0,0.001451,1.0000000028,magnetar near Sgr A* with strong relativistic effects,38071497974.22413,0,1.00234,0.004857042869212467,0.004857042869212467,0.004857042869212467
PSR_J1745-29AB,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2022.8,90.0,0.00087,456805024067434.56,456407949151672.6,656.281,656.8519644699999,12000000.0,18000000.0,0.000539,1.0000000028,pulsar in close orbit to central BH,38071497974.22413,0,1.00087,0.001807149625323711,0.001807149625323711,0.001807149625323711
G2_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2014.2,45.0,0.01234,456805024067434.56,451236762419181.9,656.281,664.37950754,8000000.0,25000000.0,0.007654,1.0000000028,gas cloud G2 pericenter passage,38071497974.22413,0,1.01234,0.025486661343916413,0.025486661343916413,0.025486661343916413
G1_SgrA*,S-star orbital,4297000.0,145112000000000.0,0.884,16.05,2011.3,120.0,0.00876,456805024067434.56,452838161770326.4,656.281,662.0300215600001,6500000.0,19000000.0,0.005432,1.0000000028,gas cloud G1 dynamics,38071497974.22413,0,1.0087600000000003,0.018124770335370265,0.018124770335370265,0.018124770335370265
