r_over_rs,r_m,m_geom_m,Phi,rho_fl,pr_fl,pt_fl,phi,phip,Zpar,U,X,rho_phi,pr_phi,pt_phi,Delta_phi,rho_tot,pr_tot,pt_tot,one_minus_2m_over_r
1.0500000000e+00,3.1010063512e+03,1.4766696910e+03,8.7986455052e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e-04,2.8627498455e-28,1.0000002999e+00,1.4993335555e-22,3.9025412751e-57,1.4993335555e-22,-1.4993335555e-22,-1.4993335555e-22,0.0000000000e+00,1.4993335555e-22,-1.4993335555e-22,-1.4993335555e-22,4.7619047619e-02
1.1050251256e+00,3.2635142217e+03,1.4766696910e+03,3.4548400355e-01,-1.0511337955e-30,-3.1534013866e-31,-3.1534013866e-31,1.0000000103e-04,1.1119843362e-14,1.0000002999e+00,1.4993336069e-22,1.1752178957e-29,1.4993336656e-22,-1.4993335481e-22,-1.4993336656e-22,-1.1752182460e-29,1.4993336551e-22,-1.4993335512e-22,-1.4993336688e-22,9.5043201455e-02
1.1600502513e+00,3.4260220922e+03,1.4766696910e+03,5.3185264198e-01,-6.4423607151e-30,-1.9327082145e-30,-1.9327082145e-30,1.0000000334e-04,1.6770553386e-14,1.0000002999e+00,1.4993337222e-22,3.8803807790e-29,1.4993339162e-22,-1.4993335282e-22,-1.4993339162e-22,-3.8803819426e-29,1.4993338518e-22,-1.4993335475e-22,-1.4993339355e-22,1.3796837773e-01
1.2150753769e+00,3.5885299627e+03,1.4766696910e+03,6.5640273934e-01,-1.7471376554e-29,-5.2414129661e-30,-5.2414129661e-30,1.0000000636e-04,2.0216928902e-14,1.0000002999e+00,1.4993338734e-22,7.2346552395e-29,1.4993342351e-22,-1.4993335117e-22,-1.4993342351e-22,-7.2346574096e-29,1.4993340604e-22,-1.4993335641e-22,-1.4993342876e-22,1.7700578991e-01
1.2701005025e+00,3.7510378333e+03,1.4766696910e+03,7.4811480850e-01,-3.4100040245e-29,-1.0230012073e-29,-1.0230012073e-29,1.0000000985e-04,2.2491158419e-14,1.0000002999e+00,1.4993340475e-22,1.0757490060e-28,1.4993345853e-22,-1.4993335096e-22,-1.4993345853e-22,-1.0757493289e-28,1.4993342443e-22,-1.4993336119e-22,-1.4993346876e-22,2.1266073195e-01
1.3251256281e+00,3.9135457038e+03,1.4766696910e+03,8.1966168001e-01,-5.5734419076e-29,-1.6720325723e-29,-1.6720325723e-29,1.0000001364e-04,2.4062528997e-14,1.0000002999e+00,1.4993342368e-22,1.4206159660e-28,1.4993349471e-22,-1.4993335265e-22,-1.4993349471e-22,-1.4206163919e-28,1.4993343898e-22,-1.4993336937e-22,-1.4993351143e-22,2.4535456959e-01
1.3801507538e+00,4.0760535743e+03,1.4766696910e+03,8.7740897064e-01,-8.1718916450e-29,-2.4515674935e-29,-2.4515674935e-29,1.0000001764e-04,2.5173291607e-14,1.0000002999e+00,1.4993344371e-22,1.7454577561e-28,1.4993353098e-22,-1.4993335643e-22,-1.4993353098e-22,-1.7454582795e-28,1.4993344926e-22,-1.4993338095e-22,-1.4993355549e-22,2.7544147096e-01
1.4351758794e+00,4.2385614448e+03,1.4766696910e+03,9.2551864230e-01,-1.1123110173e-28,-3.3369330519e-29,-3.3369330519e-29,1.0000002180e-04,2.5980631262e-14,1.0000002999e+00,1.4993346449e-22,2.0467230807e-28,1.4993356682e-22,-1.4993336215e-22,-1.4993356682e-22,-2.0467236945e-28,1.4993345559e-22,-1.4993339552e-22,-1.4993360019e-22,3.0322128852e-01
1.4902010050e+00,4.4010693153e+03,1.4766696910e+03,9.6616360564e-01,-1.4373014621e-28,-4.3119043864e-29,-4.3119043864e-29,1.0000002608e-04,2.6569269391e-14,1.0000002999e+00,1.4993348584e-22,2.3221409108e-28,1.4993360195e-22,-1.4993336973e-22,-1.4993360195e-22,-2.3221416071e-28,1.4993345822e-22,-1.4993341285e-22,-1.4993364507e-22,3.2894958692e-01
1.5452261307e+00,4.5635771859e+03,1.4766696910e+03,1.0012744801e+00,-1.7854788286e-28,-5.3564364857e-29,-5.3564364857e-29,1.0000003043e-04,2.7008928373e-14,1.0000002999e+00,1.4993350760e-22,2.5739453655e-28,1.4993363630e-22,-1.4993337890e-22,-1.4993363630e-22,-2.5739461375e-28,1.4993345775e-22,-1.4993343247e-22,-1.4993368986e-22,3.5284552846e-01
