r_over_rs,D_GR,D_SSZ,Xi
1.05,1.0,1.0,0.0
1.05099,1.0,1.0,0.0
1.0519800000000001,1.0,1.0,0.0
1.05297,1.0,1.0,0.0
1.05396,1.0,1.0,0.0
1.05495,1.0,1.0,0.0
1.05594,1.0,1.0,0.0
1.0569300000000001,1.0,1.0,0.0
1.05792,1.0,1.0,0.0
1.05891,1.0,1.0,0.0
1.0599,1.0,1.0,0.0
1.06089,1.0,1.0,0.0
1.06188,1.0,1.0,0.0
1.06287,1.0,1.0,0.0
1.06386,1.0,1.0,0.0
1.06485,1.0,1.0,0.0
1.0658400000000001,1.0,1.0,0.0
1.06683,1.0,1.0,0.0
1.06782,1.0,1.0,0.0
1.06881,1.0,1.0,0.0
1.0698,1.0,1.0,0.0
1.0707900000000001,1.0,1.0,0.0
1.07178,1.0,1.0,0.0
1.07277,1.0,1.0,0.0
1.07376,1.0,1.0,0.0
1.07475,1.0,1.0,0.0
1.0757400000000001,1.0,1.0,0.0
1.07673,1.0,1.0,0.0
1.07772,1.0,1.0,0.0
1.07871,1.0,1.0,0.0
1.0797,1.0,1.0,0.0
1.0806900000000002,1.0,1.0,0.0
1.08168,1.0,1.0,0.0
1.08267,1.0,1.0,0.0
1.08366,1.0,1.0,0.0
1.0846500000000001,1.0,1.0,0.0
1.08564,1.0,1.0,0.0
1.08663,1.0,1.0,0.0
1.08762,1.0,1.0,0.0
1.08861,1.0,1.0,0.0
1.0896000000000001,1.0,1.0,0.0
1.09059,1.0,1.0,0.0
1.09158,1.0,1.0,0.0
1.09257,1.0,1.0,0.0
1.09356,1.0,1.0,0.0
1.0945500000000001,1.0,1.0,0.0
1.09554,1.0,1.0,0.0
1.09653,1.0,1.0,0.0
1.09752,1.0,1.0,0.0
1.09851,1.0,1.0,0.0
1.0995000000000001,1.0,1.0,0.0
1.10049,1.0,1.0,0.0
1.10148,1.0,1.0,0.0
1.10247,1.0,1.0,0.0
1.10346,1.0,1.0,0.0
1.10445,1.0,1.0,0.0
1.10544,1.0,1.0,0.0
1.10643,1.0,1.0,0.0
