r_over_rs,D_GR,D_SSZ,delta,z_GR,z_SSZ
1.5,1.0,1.0,0.0,0.0,0.0
1.5007,1.0,1.0,0.0,0.0,0.0
1.5014,1.0,1.0,0.0,0.0,0.0
1.5021,1.0,1.0,0.0,0.0,0.0
1.5028,1.0,1.0,0.0,0.0,0.0
1.5035,1.0,1.0,0.0,0.0,0.0
1.5042,1.0,1.0,0.0,0.0,0.0
1.5049,1.0,1.0,0.0,0.0,0.0
1.5056,1.0,1.0,0.0,0.0,0.0
1.5063,1.0,1.0,0.0,0.0,0.0
1.507,1.0,1.0,0.0,0.0,0.0
1.5077,1.0,1.0,0.0,0.0,0.0
1.5084,1.0,1.0,0.0,0.0,0.0
1.5091,1.0,1.0,0.0,0.0,0.0
1.5098,1.0,1.0,0.0,0.0,0.0
1.5105,1.0,1.0,0.0,0.0,0.0
1.5112,1.0,1.0,0.0,0.0,0.0
1.5119,1.0,1.0,0.0,0.0,0.0
1.5126,1.0,1.0,0.0,0.0,0.0
1.5133,1.0,1.0,0.0,0.0,0.0
1.514,1.0,1.0,0.0,0.0,0.0
1.5147,1.0,1.0,0.0,0.0,0.0
1.5154,1.0,1.0,0.0,0.0,0.0
1.5161,1.0,1.0,0.0,0.0,0.0
1.5168,1.0,1.0,0.0,0.0,0.0
1.5175,1.0,1.0,0.0,0.0,0.0
1.5182,1.0,1.0,0.0,0.0,0.0
1.5189,1.0,1.0,0.0,0.0,0.0
1.5196,1.0,1.0,0.0,0.0,0.0
1.5203,1.0,1.0,0.0,0.0,0.0
1.521,1.0,1.0,0.0,0.0,0.0
1.5217,1.0,1.0,0.0,0.0,0.0
1.5224,1.0,1.0,0.0,0.0,0.0
1.5231,1.0,1.0,0.0,0.0,0.0
1.5238,1.0,1.0,0.0,0.0,0.0
1.5245,1.0,1.0,0.0,0.0,0.0
1.5252,1.0,1.0,0.0,0.0,0.0
1.5259,1.0,1.0,0.0,0.0,0.0
1.5266,1.0,1.0,0.0,0.0,0.0
1.5273,1.0,1.0,0.0,0.0,0.0
1.528,1.0,1.0,0.0,0.0,0.0
1.5287,1.0,1.0,0.0,0.0,0.0
1.5294,1.0,1.0,0.0,0.0,0.0
1.5301,1.0,1.0,0.0,0.0,0.0
1.5308,1.0,1.0,0.0,0.0,0.0
1.5315,1.0,1.0,0.0,0.0,0.0
1.5322,1.0,1.0,0.0,0.0,0.0
1.5329,1.0,1.0,0.0,0.0,0.0
1.5336,1.0,1.0,0.0,0.0,0.0
1.5343,1.0,1.0,0.0,0.0,0.0
1.535,1.0,1.0,0.0,0.0,0.0
1.5357,1.0,1.0,0.0,0.0,0.0
1.5364,1.0,1.0,0.0,0.0,0.0
1.5371,1.0,1.0,0.0,0.0,0.0
1.5378,1.0,1.0,0.0,0.0,0.0
1.5385,1.0,1.0,0.0,0.0,0.0
1.5392,1.0,1.0,0.0,0.0,0.0
1.5399,1.0,1.0,0.0,0.0,0.0
1.5406,1.0,1.0,0.0,0.0,0.0
1.5413,1.0,1.0,0.0,0.0,0.0
1.542,1.0,1.0,0.0,0.0,0.0
1.5427,1.0,1.0,0.0,0.0,0.0
1.5434,1.0,1.0,0.0,0.0,0.0
1.5441,1.0,1.0,0.0,0.0,0.0
1.5448,1.0,1.0,0.0,0.0,0.0
1.5455,1.0,1.0,0.0,0.0,0.0
1.5462,1.0,1.0,0.0,0.0,0.0
1.5469,1.0,1.0,0.0,0.0,0.0
1.5476,1.0,1.0,0.0,0.0,0.0
1.5483,1.0,1.0,0.0,0.0,0.0
1.549,1.0,1.0,0.0,0.0,0.0
1.5497,1.0,1.0,0.0,0.0,0.0
1.5504,1.0,1.0,0.0,0.0,0.0
1.5511,1.0,1.0,0.0,0.0,0.0
1.5518,1.0,1.0,0.0,0.0,0.0
1.5525,1.0,1.0,0.0,0.0,0.0
1.5532,1.0,1.0,0.0,0.0,0.0
1.5539,1.0,1.0,0.0,0.0,0.0
1.5546,1.0,1.0,0.0,0.0,0.0
1.5553,1.0,1.0,0.0,0.0,0.0
1.556,1.0,1.0,0.0,0.0,0.0
1.5567,1.0,1.0,0.0,0.0,0.0
1.5574,1.0,1.0,0.0,0.0,0.0
1.5581,1.0,1.0,0.0,0.0,0.0
1.5588,1.0,1.0,0.0,0.0,0.0
1.5594999999999999,1.0,1.0,0.0,0.0,0.0
1.5602,1.0,1.0,0.0,0.0,0.0
1.5609,1.0,1.0,0.0,0.0,0.0
