r_over_rs,D_GR,D_SSZ,Xi
1.000000000,0.000000000,0.555027710,0.801711847
1.001000250,0.031610925,0.554928947,0.802032505
1.002000500,0.044682280,0.554830379,0.802352644
1.003000750,0.054697099,0.554732005,0.802672265
1.004001000,0.063127300,0.554633825,0.802991370
1.005001250,0.070543336,0.554535839,0.803309958
1.006001500,0.077237926,0.554438045,0.803628032
1.007001750,0.083385051,0.554340444,0.803945591
1.008002001,0.089098130,0.554243035,0.804262636
1.009002251,0.094455985,0.554145818,0.804579169
1.010002501,0.099516036,0.554048792,0.804895189
1.011002751,0.104321655,0.553951957,0.805210699
1.012003001,0.108906554,0.553855312,0.805525699
1.013003251,0.113297558,0.553758858,0.805840189
1.014003501,0.117516429,0.553662592,0.806154170
1.015003751,0.121581109,0.553566516,0.806467644
1.016004001,0.125506603,0.553470628,0.806780611
1.017004251,0.129305611,0.553374929,0.807093072
1.018004501,0.132988993,0.553279417,0.807405028
1.019004751,0.136566126,0.553184093,0.807716479
1.020005001,0.140045172,0.553088955,0.808027426
1.021005251,0.143433288,0.552994004,0.808337871
1.022005501,0.146736791,0.552899239,0.808647813
1.023005751,0.149961292,0.552804660,0.808957254
1.024006002,0.153111800,0.552710266,0.809266195
1.025006252,0.156192811,0.552616057,0.809574636
1.026006502,0.159208376,0.552522032,0.809882579
1.027006752,0.162162162,0.552428191,0.810190023
1.028007002,0.165057504,0.552334534,0.810496971
1.029007252,0.167897440,0.552241059,0.810803422
1.030007502,0.170684753,0.552147768,0.811109377
1.031007752,0.173421994,0.552054659,0.811414838
1.032008002,0.176111514,0.551961731,0.811719804
1.033008252,0.178755481,0.551868986,0.812024278
1.034008502,0.181355903,0.551776421,0.812328259
1.035008752,0.183914641,0.551684037,0.812631749
1.036009002,0.186433426,0.551591833,0.812934747
1.037009252,0.188913868,0.551499809,0.813237256
1.038009502,0.191357473,0.551407964,0.813539276
1.039009752,0.193765648,0.551316299,0.813840807
1.040010003,0.196139711,0.551224812,0.814141850
1.041010253,0.198480899,0.551133503,0.814442407
1.042010503,0.200790375,0.551042372,0.814742478
1.043010753,0.203069233,0.550951419,0.815042063
1.044011003,0.205318505,0.550860642,0.815341164
1.045011253,0.207539166,0.550770043,0.815639781
1.046011503,0.209732136,0.550679619,0.815937916
1.047011753,0.211898286,0.550589372,0.816235568
1.048012003,0.214038443,0.550499299,0.816532739
1.049012253,0.216153391,0.550409402,0.816829429
1.050012503,0.218243873,0.550319680,0.817125640
1.051012753,0.220310598,0.550230131,0.817421371
1.052013003,0.222354238,0.550140757,0.817716625
1.053013253,0.224375436,0.550051556,0.818011401
1.054013503,0.226374803,0.549962528,0.818305700
1.055013753,0.228352924,0.549873673,0.818599523
1.056014004,0.230310357,0.549784991,0.818892871
1.057014254,0.232247635,0.549696480,0.819185745
1.058014504,0.234165268,0.549608141,0.819478145
1.059014754,0.236063746,0.549519973,0.819770072
1.060015004,0.237943537,0.549431975,0.820061527
1.061015254,0.239805090,0.549344148,0.820352511
1.062015504,0.241648837,0.549256492,0.820643024
1.063015754,0.243475193,0.549169004,0.820933068
1.064016004,0.245284554,0.549081687,0.821222642
1.065016254,0.247077304,0.548994538,0.821511748
1.066016504,0.248853812,0.548907557,0.821800387
1.067016754,0.250614431,0.548820745,0.822088559
1.068017004,0.252359505,0.548734100,0.822376265
1.069017254,0.254089361,0.548647623,0.822663505
1.070017504,0.255804319,0.548561313,0.822950282
1.071017754,0.257504684,0.548475170,0.823236594
1.072018005,0.259190752,0.548389192,0.823522443
1.073018255,0.260862810,0.548303381,0.823807830
1.074018505,0.262521134,0.548217736,0.824092756
1.075018755,0.264165991,0.548132255,0.824377221
1.076019005,0.265797639,0.548046939,0.824661226
1.077019255,0.267416329,0.547961788,0.824944771
1.078019505,0.269022303,0.547876801,0.825227858
1.079019755,0.270615795,0.547791978,0.825510487
1.080020005,0.272197033,0.547707318,0.825792659
1.081020255,0.273766238,0.547622821,0.826074375
1.082020505,0.275323622,0.547538486,0.826355636
1.083020755,0.276869394,0.547454314,0.826636441
1.084021005,0.278403754,0.547370304,0.826916792
1.085021255,0.279926899,0.547286455,0.827196690
1.086021505,0.281439018,0.547202768,0.827476136
1.087021755,0.282940295,0.547119242,0.827755129
1.088022006,0.284430910,0.547035876,0.828033671
1.089022256,0.285911036,0.546952670,0.828311763
1.090022506,0.287380844,0.546869624,0.828589405
1.091022756,0.288840498,0.546786737,0.828866599
1.092023006,0.290290159,0.546704010,0.829143343
1.093023256,0.291729983,0.546621441,0.829419641
1.094023506,0.293160122,0.546539031,0.829695491
1.095023756,0.294580724,0.546456778,0.829970896
1.096024006,0.295991934,0.546374684,0.830245855
1.097024256,0.297393893,0.546292746,0.830520369
1.098024506,0.298786737,0.546210966,0.830794440
1.099024756,0.300170600,0.546129343,0.831068067
1.100025006,0.301545613,0.546047875,0.831341252
1.101025256,0.302911903,0.545966564,0.831613995
1.102025506,0.304269595,0.545885409,0.831886297
1.103025756,0.305618809,0.545804408,0.832158159
1.104026007,0.306959664,0.545723563,0.832429581
1.105026257,0.308292276,0.545642872,0.832700564
1.106026507,0.309616758,0.545562336,0.832971109
1.107026757,0.310933219,0.545481954,0.833241216
1.108027007,0.312241769,0.545401725,0.833510887
1.109027257,0.313542511,0.545321649,0.833780121
1.110027507,0.314835550,0.545241727,0.834048920
1.111027757,0.316120986,0.545161957,0.834317285
1.112028007,0.317398918,0.545082339,0.834585215
1.113028257,0.318669442,0.545002873,0.834852712
1.114028507,0.319932653,0.544923559,0.835119777
1.115028757,0.321188642,0.544844396,0.835386410
1.116029007,0.322437501,0.544765384,0.835652611
1.117029257,0.323679318,0.544686523,0.835918382
1.118029507,0.324914179,0.544607812,0.836183723
1.119029757,0.326142170,0.544529251,0.836448635
1.120030008,0.327363373,0.544450840,0.836713119
1.121030258,0.328577871,0.544372578,0.836977175
1.122030508,0.329785743,0.544294465,0.837240804
1.123030758,0.330987067,0.544216500,0.837504007
1.124031008,0.332181919,0.544138684,0.837766784
1.125031258,0.333370377,0.544061016,0.838029136
1.126031508,0.334552512,0.543983496,0.838291064
1.127031758,0.335728397,0.543906123,0.838552568
1.128032008,0.336898104,0.543828898,0.838813650
1.129032258,0.338061702,0.543751819,0.839074309
1.130032508,0.339219259,0.543674886,0.839334547
1.131032758,0.340370842,0.543598100,0.839594364
1.132033008,0.341516518,0.543521459,0.839853760
1.133033258,0.342656350,0.543444964,0.840112738
1.134033508,0.343790403,0.543368614,0.840371296
1.135033758,0.344918738,0.543292409,0.840629436
1.136034009,0.346041417,0.543216348,0.840887159
1.137034259,0.347158499,0.543140432,0.841144465
1.138034509,0.348270044,0.543064659,0.841401355
1.139034759,0.349376110,0.542989031,0.841657830
1.140035009,0.350476754,0.542913545,0.841913890
1.141035259,0.351572031,0.542838203,0.842169535
1.142035509,0.352661997,0.542763003,0.842424768
1.143035759,0.353746705,0.542687946,0.842679587
1.144036009,0.354826210,0.542613031,0.842933995
1.145036259,0.355900563,0.542538257,0.843187991
1.146036509,0.356969816,0.542463625,0.843441576
1.147036759,0.358034019,0.542389134,0.843694752
1.148037009,0.359093221,0.542314784,0.843947517
1.149037259,0.360147473,0.542240575,0.844199874
1.150037509,0.361196822,0.542166506,0.844451823
1.151037759,0.362241315,0.542092576,0.844703365
1.152038010,0.363280999,0.542018787,0.844954500
1.153038260,0.364315920,0.541945137,0.845205229
1.154038510,0.365346123,0.541871626,0.845455552
1.155038760,0.366371653,0.541798253,0.845705470
1.156039010,0.367392552,0.541725020,0.845954984
1.157039260,0.368408865,0.541651924,0.846204095
1.158039510,0.369420633,0.541578966,0.846452803
1.159039760,0.370427899,0.541506146,0.846701109
1.160040010,0.371430703,0.541433463,0.846949013
1.161040260,0.372429087,0.541360917,0.847196516
