case,category,M_solar,a_m,e,P_year,T0_year,f_true_deg,z,f_emit_Hz,f_obs_Hz,lambda_emit_nm,lambda_obs_nm,v_los_mps,v_tot_mps,z_geom_hint,N0,source,r_emit_m,dp_id,obs_collection,facility_name,instrument_name,target_name,obs_title,dp_cat,calib_level,ra,dec,s_fov,t_min,t_max,tpl_start,t_exptime,em_min,em_max,em_res_power,access_url,access_format,obs_release_date,lambda_rest,lambda_obs,ratio
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.785,XSHOOTER,ESO-VLT-U3,XSHOOTER,2MASS J16191008-2432088,2MASSJ16191008-2432088_4180829_2025-09-05T01:49:47.553_S0.9x11_NIR_N,spectrum,2,244.792773,-24.53592,0.00025,60923.07624483,60923.10704144,60923.091643135005,2400.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.785,application/x-votable+xml;content=datalink,2026-09-05T02:40:36Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.772,XSHOOTER,ESO-VLT-U3,XSHOOTER,2MASS J16191008-2432088,2MASSJ16191008-2432088_4180829_2025-09-05T01:46:09.568_S5.0x11_NIR_S,spectrum,2,244.792027,-24.53577,0.00138888,60923.07372185,60923.0755737,60923.074647775,160.0,9.9402e-07,2.47896e-06,1029.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.772,application/x-votable+xml;content=datalink,2026-09-05T01:55:42Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.759,XSHOOTER,ESO-VLT-U3,XSHOOTER,Bright06,Bright06_4175665_2025-09-05T01:33:27.208_S5.0x11_NIR_STA,spectrum,2,239.584712,-40.55115,0.00138888,60923.06489824,60923.06628712,60923.06559268,120.0,9.9402e-07,2.47896e-06,1029.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.759,application/x-votable+xml;content=datalink,2026-09-05T01:40:47Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.746,XSHOOTER,ESO-VLT-U3,XSHOOTER,Bright06,Bright06_4175665_2025-09-05T01:09:52.146_S0.9x11_NIR_NOD,spectrum,2,239.585623,-40.55109,0.00025,60923.04852021,60923.06431102,60923.05641561501,1280.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.746,application/x-votable+xml;content=datalink,2026-09-05T01:40:47Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.733,XSHOOTER,ESO-VLT-U3,XSHOOTER,Bright05,Bright05_4175662_2025-09-05T00:45:43.671_S5.0x11_NIR_STA,spectrum,2,239.492143,-42.15368,0.00138888,60923.03175545,60923.03314433,60923.03244989,120.0,9.9402e-07,2.47896e-06,1029.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.733,application/x-votable+xml;content=datalink,2026-09-05T00:55:45Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-11T11:26:33.720,XSHOOTER,ESO-VLT-U3,XSHOOTER,Bright05,Bright05_4175662_2025-09-05T00:22:09.941_S0.9x11_NIR_NOD,spectrum,2,239.49304,-42.15348,0.00025,60923.01539283,60923.03114507,60923.02326895,1280.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-11T11:26:33.720,application/x-votable+xml;content=datalink,2026-09-05T00:50:48Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-10T12:56:43.280,XSHOOTER,ESO-VLT-U3,XSHOOTER,2MASX J17505136+1056450,2MASXJ17505136+1056450_4543970_2025-09-04T00:02:05.220_S0.9x11_NIR_N,spectrum,2,267.714819,10.94647,0.00025,60922.0014493,60922.04994095,60922.025695125,4000.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-10T12:56:43.280,application/x-votable+xml;content=datalink,2026-09-04T01:20:45Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-09T13:28:24.179,XSHOOTER,ESO-VLT-U3,XSHOOTER,AT2024wsd,AT2024wsd_4108920_2025-09-03T08:39:15.264_S0.9x11_NIR_NOD,spectrum,2,81.659089,-17.91555,0.00025,60921.36059333,60921.39798883,60921.37929108,2880.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-09T13:28:24.179,application/x-votable+xml;content=datalink,2026-09-03T09:35:51Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-09T13:28:24.166,XSHOOTER,ESO-VLT-U3,XSHOOTER,AT2024wsd,AT2024wsd_4108920_2025-09-03T07:37:39.075_S0.9x11_NIR_NOD,spectrum,2,81.659089,-17.91555,0.00025,60921.31781337,60921.35522431,60921.33651884,2880.0,9.9402e-07,2.47896e-06,5573.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-09T13:28:24.166,application/x-votable+xml;content=datalink,2026-09-03T08:35:57Z,2.16612e-06,2.16612e-06,1.0
,,1.0,,,,,,0.0,138400669399663.9,138400669399663.9,,,,0.0,,,,149600000000.0,ivo://eso.org/ID?ADP.2025-09-09T13:28:24.218,XSHOOTER,ESO-VLT-U3,XSHOOTER,HD 150469,HD150469_4543281_2025-09-03T02:24:34.112_S1.2x11_NIR_STA,spectrum,2,250.489563,-18.93686,0.00033305,60921.10039482,60921.10132074,60921.10085778,80.0,9.9402e-07,2.47896e-06,4287.0,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2025-09-09T13:28:24.218,application/x-votable+xml;content=datalink,2025-09-03T02:30:50Z,2.16612e-06,2.16612e-06,1.0
