case,category,M_solar,r_emit_m,z,f_emit_Hz,f_obs_Hz,ra_deg,dec_deg,v_tot_mps,v_los_mps,z_geom_hint,notes
Sgr_A*_S2_var1,S-star,4896116.952973526,50252258596760.055,0.0004165369411450903,456805024067434.56,456614827124062.8,243.61181547224808,70.59232218687217,557137.1810381165,383966.1150438571,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var2,S-star,2522076.163808601,133603582133906.77,0.00010754449649196863,456805024067434.56,456755902483882.2,9.552949086190905,-54.209222876403274,549820.7596857654,277265.93870154413,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var3,S-star,4941053.429138611,159437710926675.5,0.00034775518377127787,456805024067434.56,456646222976245.06,2.339553484101966,55.04746532990541,1142825.094201454,854312.459742036,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var4,S-star,5148404.98026441,116452608468778.3,0.00026590416976284475,456805024067434.56,456683589996592.25,33.38850361685325,-72.59105216997648,1731540.91553085,639415.8729986912,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var5,S-star,5790183.292195034,171782466587047.12,0.001086981624325719,456805024067434.56,456309024542742.6,350.3216750325734,-21.863812102496368,1367570.8587101086,723421.015067161,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var6,S-star,4520618.592581056,219174979493128.9,0.0008493348879789501,456805024067434.56,456417372869177.06,253.64586103737244,-81.7516109419808,1578731.0404972436,887060.1064613432,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var7,S-star,3127778.8904746966,105771472356442.52,0.00017053789092377064,456805024067434.56,456727134785140.6,100.07049711963316,24.423199967592026,572465.4181776483,103502.4022366295,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S2_var8,S-star,3716183.873034452,122738003094545.34,0.0003339788587720745,456805024067434.56,456652511782693.94,233.29273868877368,19.64358102005788,627164.5152785814,532665.6679167908,,Synthetic variant of Sgr_A*_S2
Sgr_A*_S29_var1,S-star,2883882.7713072225,686804308907854.1,3.941244887714711e-05,456805024067434.56,456787020972322.75,230.39991354747343,10.250953879436324,403564.3534061183,359825.5162845424,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var2,S-star,5090287.43650349,769596197898181.4,0.0001496799840783241,456805024067434.56,456736659731477.94,113.5630973012695,-41.806642324373506,283238.4575712835,35597.464613961674,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var3,S-star,3055093.278890445,842438272035919.5,0.00016774617276508043,456805024067434.56,456728409624726.9,142.42748438183912,74.61856615329782,351742.3046387823,219610.63580802907,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var4,S-star,4120186.4105680524,348832761210582.1,5.4392951384917025e-05,456805024067434.56,456780178445394.75,210.4509564804746,71.60811904844584,549094.5073305207,170325.4300027558,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var5,S-star,3864723.970588287,315665512666502.2,0.00018955676916911987,456805024067434.56,456718449993633.8,16.961895152904447,-70.26315653688135,507621.0349411716,87680.127408961,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var6,S-star,4844635.641198178,732633777256237.9,8.598879402394313e-05,456805024067434.56,456765747331670.1,358.6036968864348,5.240582117844667,150822.1649215657,61127.53406554787,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var7,S-star,6321223.788605717,782647623226714.5,1.2066583949707536e-05,456805024067434.56,456799512057774.06,193.30931894716625,-41.9714658085423,676577.4554881557,436641.63903352886,,Synthetic variant of Sgr_A*_S29
Sgr_A*_S29_var8,S-star,4902712.8484974345,237209982377798.03,8.82577451204389e-05,456805024067434.56,456764711043987.25,315.30705853614984,-42.58997086480366,462978.96506336523,399575.26529406727,,Synthetic variant of Sgr_A*_S29
M87_jet_var1,jet,6503809734.826939,550112632742183.94,0.006970920443282708,456805024067434.56,453642716779092.94,230.02181815176186,19.614638058871023,159282971.1738827,53958035.60803469,,Synthetic variant of M87_jet
M87_jet_var2,jet,4243455245.572626,1367515120105211.8,0.004283529016861306,456805024067434.56,454856632483678.94,0.2058826060596619,-31.651909739158846,144580236.5808893,75800951.17610668,,Synthetic variant of M87_jet
M87_jet_var3,jet,3376598825.50791,1600738062770464.0,0.006726797520326927,456805024067434.56,453752721386371.1,20.853059937907517,68.0417278567273,153066484.69778872,52962733.40601915,,Synthetic variant of M87_jet
M87_jet_var4,jet,9405171394.436962,419914832895030.3,0.0038991313358796194,456805024067434.56,455030799219407.8,275.70039455051557,-66.8895363900427,31074002.95494138,22015363.440084558,,Synthetic variant of M87_jet
M87_jet_var5,jet,6339335457.641753,1069725030892921.4,0.0023084077283684256,456805024067434.56,455752960411394.1,76.24735395914954,7.073295980302504,159589286.5736412,69981554.25648381,,Synthetic variant of M87_jet
M87_jet_var6,jet,7994551949.084845,581611488745574.2,0.002644357297366444,456805024067434.56,455600254210530.94,157.71603020922146,3.1636513864063147,179223897.06574315,111101332.19270112,,Synthetic variant of M87_jet
M87_jet_var7,jet,4036527273.1437273,614576271844180.2,0.0028342160474616783,456805024067434.56,455513998981677.25,79.2782584025614,-77.22124451837415,114129394.95315732,32423223.65615967,,Synthetic variant of M87_jet
