name,category,mass_Msun,radius_km,success,E_rest,E_norm_GR,E_norm_SSZ,gamma_gr_max,gamma_ssz_max,xi_mean,D_SSZ_min,r_s_km,compactness
Sun,main_sequence,1.0,695700.0,True,8.987551787368176e+16,1.0000006843703726,1.000002590430359,1.0000020741949665,1.0000064068554384,1.1811531954091232e-06,0.9999946302748345,2.95325007610025,235570.9750522272
Sirius B,white_dwarf,1.018,6010.848,True,8.987551787368176e+16,1.0000806479266957,1.0003051699236534,1.0002444789667453,1.0007547326653248,0.0001391400973213264,0.9993679614272072,3.006408577470054,1999.3450141957203
PSR J0740+6620,neutron_star,2.08,12.39,True,8.987551787368176e+16,1.0970170074093102,1.2658954500292257,1.392787776642118,1.6481719400347787,0.11433094661497911,0.6970023895949077,6.142760158288519,2.0170085890919878
MS-1,main_sequence,2.144283285706888,1280700.9499003035,True,8.987551787368176e+16,1.0000007971640923,1.000003017367878,1.0000024160517416,1.0000074627902569,1.3758229105933497e-06,0.9999937452801027,6.33260477669436,202239.20409712248
MS-2,main_sequence,2.263379273962218,1337297.0023483003,True,8.987551787368176e+16,1.000000805828773,1.0000030501647,1.0000024423127842,1.0000075439058806,1.3907772004149163e-06,0.9999936772959724,6.684325013072647,200064.6287744725
MS-3,main_sequence,2.482503398713884,1439905.1491198333,True,8.987551787368176e+16,1.000000820860365,1.0000031070610158,1.0000024878707598,1.0000076846262276,1.4167200797370324e-06,0.9999935593563254,7.331453351170906,196401.05176279487
MS-4,main_sequence,1.9616121735928111,1192648.652386072,True,8.987551787368176e+16,1.000000783094031,1.0000029641110575,1.0000023734079926,1.0000073310713868,1.3515395227381432e-06,0.9999938556755414,5.793131300942146,205872.88470263223
MS-5,main_sequence,1.2605559745562125,837281.9164833974,True,8.987551787368176e+16,1.0000007168093386,1.0000027132157048,1.0000021725114154,1.000006710537646,1.237139349166583e-06,0.9999943757540336,3.722737027786759,224910.3039601962
MS-6,main_sequence,1.4070281363378838,914248.4422690115,True,8.987551787368176e+16,1.0000007327432014,1.00000277352726,1.0000022208039845,1.000006859704842,1.2646394705058129e-06,0.999994250734739,4.155305950715047,220019.5251836239
MS-7,main_sequence,0.7905542668084953,576457.5783329366,True,8.987551787368176e+16,1.0000006529463685,1.000002471486735,1.0000019789546928,1.0000061126748632,1.1269187404305826e-06,0.999994876832331,2.3347044486135657,246908.1594782837
MS-8,main_sequence,1.2543907906345289,834004.2982141215,True,8.987551787368176e+16,1.0000007161068012,1.0000027105565172,1.0000021703821553,1.0000067039607385,1.2359268455996997e-06,0.9999943812662406,3.7045296979008744,225130.95216558786
MS-9,main_sequence,2.1610132677950693,1288688.4911410336,True,8.987551787368176e+16,1.0000007984041461,1.000003022061626,1.0000024198101154,1.000007474399196,1.3779631078971731e-06,0.999993735550489,6.382012597569437,201925.09360320368
MS-10,main_sequence,2.1657897429130006,1290966.6924955011,True,8.987551787368176e+16,1.0000007987567767,1.0000030233963737,1.0000024208788731,1.000007477700396,1.3785717095986528e-06,0.9999937327837071,6.396118723074959,201835.94901672864
MS-11,main_sequence,1.1548419191644392,780620.6492109125,True,8.987551787368176e+16,1.000000704361687,1.0000026660998664,1.000002134784906,1.0000065940071146,1.215656048227487e-06,0.9999944734200717,3.410536985656139,228884.96811323456
MS-12,main_sequence,0.7542411284131634,555175.3459048108,True,8.987551787368176e+16,1.0000006468345517,1.0000024483527719,1.000001960430922,1.0000060554581538,1.1163703993597454e-06,0.9999949247865986,2.227462669884113,249241.14482856612
MS-13,main_sequence,1.315439577522137,866320.7701707036,True,8.987551787368176e+16,1.0000007229452585,1.0000027364408883,1.0000021911082448,1.0000067679799636,1.2477292828378948e-06,0.9999943276107489,3.884822032422532,223001.40468223087
MS-14,main_sequence,2.304773957678741,1356827.614332435,True,8.987551787368176e+16,1.0000008087549903,1.0000030612407715,1.0000024511816075,1.0000075713000742,1.3958275308620927e-06,0.9999936543365214,6.806573865908615,199340.76101461815
MS-15,main_sequence,2.081980114140607,1250844.33214373,True,8.987551787368176e+16,1.000000792476892,1.0000029996262796,1.0000024018457054,1.0000074189103694,1.3677333154760163e-06,0.9999937820564504,6.148607930524953,203435.3704574128
MS-16,main_sequence,1.6488950687244077,1037949.9652707465,True,8.987551787368176e+16,1.0000007563622848,1.0000028629282713,1.0000022923890326,1.0000070808183208,1.305403443048192e-06,0.9999940654162466,4.8695994871916835,213148.93925071775
MS-17,main_sequence,1.394526982181865,907744.3212740166,True,8.987551787368176e+16,1.000000731436493,1.0000027685812143,1.0000022168435942,1.0000068474718997,1.2623842333798761e-06,0.9999942609873523,4.118386916252445,220412.58865012735
MS-18,main_sequence,0.9771006162757366,682925.6632579787,True,8.987551787368176e+16,1.000000681206926,1.000002578456335,1.000002064607151,1.0000063772403562,1.1756934268563057e-06,0.9999946550957065,2.88562246937392,236664.93815670552
MS-19,main_sequence,1.1621705000089289,784581.1707000297,True,8.987551787368176e+16,1.0000007052533981,1.0000026694750979,1.000002137487515,1.0000066023549978,1.2171950448349733e-06,0.9999944664235809,3.432180117592834,228595.57010961804
MS-20,main_sequence,1.9103807483559205,1167664.1584104444,True,8.987551787368176e+16,1.0000007789601975,1.0000029484640156,1.0000023608791098,1.0000072923719165,1.3444049774617996e-06,0.9999938881101182,5.641832090462574,206965.42181472603
MS-21,main_sequence,2.2584463867888003,1334964.8526194314,True,8.987551787368176e+16,1.0000008054772156,1.0000030488340141,1.0000024412472788,1.0000075406147269,1.3901704508727523e-06,0.9999936800543338,6.669756963652358,200151.94854842278
MS-22,main_sequence,2.4725308837202897,1435275.869382269,True,8.987551787368176e+16,1.0000008201998027,1.0000031045607112,1.0000024858687178,1.0000076784422816,1.4155800216997253e-06,0.9999935645391743,7.302002020507162,196559.22654518543
MS-23,main_sequence,1.2781407331648327,846613.0213454583,True,8.987551787368176e+16,1.0000007187981728,1.000002720743678,1.000002178539201,1.0000067291564108,1.2405718618522248e-06,0.9999943601493615,3.7746692174858714,224288.00315100118
MS-24,main_sequence,1.583413664944933,1004841.3868486825,True,8.987551787368176e+16,1.000000750257134,1.0000028398195588,1.0000022738854557,1.0000070236640706,1.2948666169325664e-06,0.9999941133180644,4.676216526496799,214883.41721452796
MS-25,main_sequence,1.814229239696026,1120406.7924480163,True,8.987551787368176e+16,1.0000007709562013,1.000002918167955,1.0000023366204829,1.0000072174413652,1.330590953339872e-06,0.9999939509104877,5.357872640195587,209114.11444209254
MS-26,main_sequence,1.7688579571029903,1097934.3459021517,True,8.987551787368176e+16,1.0000007670609292,1.0000029034238949,1.0000023248146366,1.0000071809752191,1.3238681384892814e-06,0.9999939814732913,5.223879896424938,210176.03154573747
MS-27,main_sequence,2.239988365555802,1326229.2848337626,True,8.987551787368176e+16,1.0000008041562736,1.0000030438340959,1.0000024372437482,1.0000075282485437,1.387890649771073e-06,0.9999936904186029,6.615245811041347,200480.7262974545
MS-28,main_sequence,1.1231961009947238,763460.3254695906,True,8.987551787368176e+16,1.0000007004583733,1.0000026513253593,1.0000021229546903,1.0000065574656611,1.2089193499278396e-06,0.9999945040460333,3.3170789707381716,230160.43097089505
MS-29,main_sequence,1.8200197094716248,1123266.6796083665,True,8.987551787368176e+16,1.0000007714477066,1.0000029200283602,1.0000023381101444,1.0000072220426628,1.3314392379770724e-06,0.9999939470540739,5.37497334550103,208980.88370030062
MS-30,main_sequence,0.5570801686447151,435668.5016634544,True,8.987551787368176e+16,1.0000006088000446,1.0000023043875577,1.0000018451554762,1.0000056993922262,1.050726902702692e-06,0.9999952232114601,1.6451970504439448,264812.3527488044
MS-31,main_sequence,1.8065981508175308,1116635.0414491727,True,8.987551787368176e+16,1.0000007703065406,1.0000029157089132,1.0000023346514817,1.0000072113594731,1.3294697096890576e-06,0.999993956007809,5.335336126384444,209290.47673813088
MS-32,main_sequence,1.3461382259967367,882457.3586358775,True,8.987551787368176e+16,1.0000007262884991,1.0000027490954495,1.000002201240984,1.0000067992782016,1.2534993540107566e-06,0.9999943013792199,3.9754828183663182,221974.88932891775
